patent_id,citation_patent_id,fwd_cit_bwd
10094973,7903917,1
10094974,7450806,0
10095778,6285999,1
10095927,5291560,0
10096023,5960411,0
10096056,5960411,0
10096320,4371752,1
10096701,5290393,0
10097398,6108703,1
10097448,6108703,1
10097566,6108703,1
10097616,6108703,1
10098733,4733665,1
10098734,4733665,0
10098783,5108388,1
10098785,5108388,1
10098786,4744360,0
10098836,4391797,1
10098934,4816567,0
10098934,5179017,1
10098934,5770429,1
10098934,5939598,1
10098943,5939598,0
10098951,4816567,0
10098959,4415732,0
10099041,4575330,0
10099406,4575330,0
10099422,4575330,0
10099426,4575330,0
10099610,5471515,0
10100119,4816567,0
10100123,4816397,0
10100123,4816567,0
10100123,5939598,1
10100123,6331415,1
10100125,4816567,0
10100278,4683195,0
10100302,4599315,0
10100302,4683195,0
10100315,4683195,0
10100316,4683195,0
10100358,4683195,0
10100358,4965188,1
10101822,7166791,1
10101851,4405829,0
10101959,5960411,0
10102301,6108703,0
10102359,7166791,1
10102401,4405829,0
10102427,4641349,0
10102427,5291560,1
10102525,5960411,0
10102562,5960411,0
10103559,4623597,0
10104020,5960411,1
10104298,5471515,0
10105128,5046022,0
10105289,6387981,0
10105413,4683195,0
10105413,4965188,1
10105417,5179017,1
10105417,6455275,1
10105471,4418691,0
10105499,4031893,0
10106155,5471515,0
10106575,4816567,0
10106600,4816567,0
10106602,4816397,0
10106602,4816567,0
10106602,5179017,1
10106602,5770429,1
10106602,5939598,1
10106611,4816567,0
10106611,5939598,1
10106612,4816567,0
10106788,4683195,0
10106793,4415732,0
10106793,4683195,0
10106822,4683195,0
10106844,4683195,0
10106844,4965188,1
10106845,4683195,0
10106845,4965188,1
10106846,4889818,1
10106916,3953566,0
10107753,7535012,1
10107753,7776613,1
10107804,6023540,1
10107905,5471515,0
10108273,8264458,0
10108612,7166791,1
10108858,5291560,0
10108969,6574628,0
10108988,6285999,0
10109142,4405829,0
10109713,5290393,0
10110288,4901307,0
10110305,7450806,1
10110307,7450806,1
10110379,4405829,0
10110379,5291560,0
10110694,6108703,1
10110822,6141060,0
10110860,5471515,0
10111705,5471515,0
10111709,4053845,0
10111711,5471515,0
10111757,6770074,1
10111766,4733665,1
10111847,4733665,1
10111927,4816567,0
10111951,4816567,0
10111951,5061620,0
10111953,5939598,0
10111967,4415732,0
10112101,5961804,1
10112187,4310440,0
10112257,4676586,1
10112540,5471515,0
10112994,4816567,0
10112996,4816397,0
10112996,5770429,1
10112996,6331415,1
10113000,4816397,0
10113000,4816567,0
10113001,4816397,0
10113001,6331415,1
10113075,4575330,0
10113097,3953566,0
10113162,4683195,0
10113166,4683195,0
10113172,4683195,0
10113172,4965188,1
10113206,4415732,0
10113206,4965188,0
10114011,5061620,0
10114023,4816567,0
10114023,5939598,0
10114023,6331415,1
10114028,4816567,0
10114497,4405829,0
10114591,4575330,0
10115001,4405829,0
10115080,4371752,1
10115102,5960411,0
10115310,5471515,0
10116312,4870302,0
10116584,6108703,1
10116733,7197462,0
10116888,4641349,0
10116888,5291560,1
10117668,4733665,1
